date,volume,open,high,low,close,adj close
2023-12-28,443600,9.050000190734863,9.119999885559082,8.960000038146973,8.989999771118164,8.989999771118164
2023-12-27,767400,8.970000267028809,9.079999923706056,8.880000114440918,9.06999969482422,9.06999969482422
2023-12-26,840100,9.020000457763672,9.170000076293944,8.991000175476074,9.06999969482422,9.06999969482422
2023-12-22,1444500,8.869999885559082,8.9399995803833,8.71500015258789,8.9399995803833,8.9399995803833
2023-12-21,2325100,8.149999618530273,8.75,8.149999618530273,8.720000267028809,8.720000267028809
2023-12-20,1932200,8.039999961853027,8.369999885559082,8.0,8.0600004196167,8.0600004196167
2023-12-19,2550200,7.550000190734863,8.100000381469727,7.520999908447266,8.09000015258789,8.09000015258789
2023-12-18,1311700,7.260000228881836,7.497000217437744,7.150000095367432,7.449999809265137,7.449999809265137
2023-12-15,1132900,6.889999866485596,7.059999942779541,6.880000114440918,7.039999961853027,7.039999961853027
2023-12-14,2021600,7.090000152587891,7.135000228881836,6.679999828338623,6.889999866485596,6.889999866485596
2023-12-13,1859400,6.730000019073486,7.070000171661377,6.574999809265137,7.0,7.0
2023-12-12,943200,6.789999961853027,6.880000114440918,6.651999950408936,6.78000020980835,6.78000020980835
2023-12-11,1487400,7.0,7.079999923706055,6.804999828338623,6.860000133514404,6.860000133514404
2023-12-08,1689700,7.130000114440918,7.440000057220459,7.119999885559082,7.159999847412109,7.159999847412109
2023-12-07,885000,7.179999828338623,7.260000228881836,7.059000015258789,7.25,7.25
2023-12-06,1390100,7.179999828338623,7.329999923706055,7.110000133514404,7.130000114440918,7.130000114440918
2023-12-05,563300,7.28000020980835,7.28000020980835,7.03000020980835,7.070000171661377,7.070000171661377
2023-12-04,775100,7.25,7.420000076293945,7.210000038146973,7.28000020980835,7.28000020980835
2023-12-01,4198000,7.090000152587891,7.449999809265137,7.050000190734863,7.449999809265137,7.449999809265137
2023-11-30,1345100,8.25,8.270000457763672,7.675000190734863,7.78000020980835,7.78000020980835
2023-11-29,735600,8.420000076293945,8.619999885559082,8.329999923706055,8.359999656677246,8.359999656677246
2023-11-28,407200,8.119999885559082,8.21500015258789,8.0600004196167,8.140000343322754,8.140000343322754
2023-11-27,360000,8.199999809265137,8.279999732971191,8.079000473022461,8.119999885559082,8.119999885559082
2023-11-24,195800,8.220000267028809,8.279999732971191,8.1899995803833,8.25,8.25
2023-11-22,768300,8.3100004196167,8.319999694824219,8.050000190734863,8.130000114440918,8.130000114440918
2023-11-21,734400,8.279999732971191,8.289999961853027,8.069999694824219,8.069999694824219,8.069999694824219
2023-11-20,437400,8.239999771118164,8.40999984741211,8.199999809265137,8.359999656677246,8.359999656677246
2023-11-17,478100,8.25,8.305000305175781,8.149999618530273,8.1899995803833,8.1899995803833
2023-11-16,820300,8.199999809265137,8.229999542236328,7.974999904632568,8.0600004196167,8.0600004196167
2023-11-15,658900,8.239999771118164,8.300000190734863,8.029999732971191,8.069999694824219,8.069999694824219
2023-11-14,1588700,8.130000114440918,8.289999961853027,8.130000114440918,8.199999809265137,8.199999809265137
2023-11-13,839000,7.929999828338623,8.098999977111816,7.801000118255615,7.900000095367432,7.900000095367432
2023-11-10,1034100,8.039999961853027,8.170000076293945,7.840000152587891,8.069999694824219,8.069999694824219
2023-11-09,3096000,8.220000267028809,8.359999656677246,7.949999809265137,8.079999923706055,8.079999923706055
2023-11-08,707400,7.349999904632568,7.349999904632568,7.025000095367432,7.03000020980835,7.03000020980835
2023-11-07,765500,7.139999866485596,7.22100019454956,7.050000190734863,7.170000076293945,7.170000076293945
2023-11-06,557600,7.460000038146973,7.478000164031982,7.21999979019165,7.25,7.25
2023-11-03,625900,6.960000038146973,7.25,6.960000038146973,7.210000038146973,7.210000038146973
2023-11-02,336800,6.75,6.920000076293945,6.670000076293945,6.889999866485596,6.889999866485596
2023-11-01,866600,6.460000038146973,6.650000095367432,6.300000190734863,6.630000114440918,6.630000114440918
2023-10-31,946300,6.570000171661377,6.590000152587891,6.349999904632568,6.389999866485596,6.389999866485596
2023-10-30,1135500,6.860000133514404,6.880000114440918,6.59499979019165,6.610000133514404,6.610000133514404
2023-10-27,598800,7.260000228881836,7.369999885559082,6.985000133514404,7.0,7.0
2023-10-26,335200,7.099999904632568,7.139999866485596,6.993000030517578,7.099999904632568,7.099999904632568
2023-10-25,457300,7.179999828338623,7.179999828338623,6.989999771118164,7.079999923706055,7.079999923706055
2023-10-24,366400,7.360000133514404,7.409999847412109,7.210000038146973,7.260000228881836,7.260000228881836
2023-10-23,432900,7.179999828338623,7.420000076293945,7.130000114440918,7.329999923706055,7.329999923706055
2023-10-20,317900,7.349999904632568,7.389999866485596,7.230000019073486,7.230000019073486,7.230000019073486
2023-10-19,353600,7.360000133514404,7.489999771118164,7.309999942779541,7.400000095367432,7.400000095367432
2023-10-18,458400,7.409999847412109,7.460000038146973,7.340000152587891,7.380000114440918,7.380000114440918
2023-10-17,410100,7.489999771118164,7.75,7.480000019073486,7.550000190734863,7.550000190734863
2023-10-16,352900,7.550000190734863,7.550000190734863,7.414999961853027,7.440000057220459,7.440000057220459
2023-10-13,251000,7.579999923706055,7.679999828338623,7.485000133514404,7.5,7.5
2023-10-12,238900,7.650000095367432,7.679999828338623,7.440000057220459,7.480000019073486,7.480000019073486
2023-10-11,351000,7.789999961853027,7.84499979019165,7.639999866485596,7.659999847412109,7.659999847412109
2023-10-10,565500,7.559999942779541,7.769999980926514,7.519999980926514,7.760000228881836,7.760000228881836
2023-10-09,487300,7.340000152587891,7.5,7.289999961853027,7.5,7.5
2023-10-06,605000,7.360000133514404,7.5,7.239999771118164,7.449999809265137,7.449999809265137
2023-10-05,523000,7.639999866485596,7.675000190734863,7.409999847412109,7.510000228881836,7.510000228881836
2023-10-04,576900,7.690000057220459,7.775000095367432,7.550000190734863,7.639999866485596,7.639999866485596
2023-10-03,586100,7.869999885559082,7.894999980926514,7.659999847412109,7.670000076293945,7.670000076293945
2023-10-02,367700,8.175000190734863,8.225000381469727,7.909999847412109,7.940000057220459,7.940000057220459
2023-09-29,368800,8.260000228881836,8.350000381469727,8.154999732971191,8.210000038146973,8.210000038146973
2023-09-28,556200,7.96999979019165,8.079999923706055,7.84499979019165,8.039999961853027,8.039999961853027
2023-09-27,435200,8.149999618530273,8.149999618530273,7.925000190734863,7.989999771118164,7.989999771118164
2023-09-26,465000,8.289999961853027,8.369999885559082,8.109999656677246,8.140000343322754,8.140000343322754
2023-09-25,529400,8.300000190734863,8.399999618530273,8.15999984741211,8.359999656677246,8.359999656677246
2023-09-22,1072200,8.550000190734863,8.550000190734863,8.270000457763672,8.359999656677246,8.359999656677246
2023-09-21,1002900,8.770000457763672,8.850000381469727,8.59000015258789,8.59000015258789,8.59000015258789
2023-09-20,1676700,9.210000038146973,9.270000457763672,8.890000343322754,9.06999969482422,9.06999969482422
2023-09-19,406300,9.369999885559082,9.53499984741211,9.300000190734863,9.4399995803833,9.4399995803833
2023-09-18,837500,9.449999809265137,9.729999542236328,9.369999885559082,9.520000457763672,9.520000457763672
2023-09-15,420800,9.149999618530272,9.31999969482422,9.0,9.029999732971191,9.029999732971191
2023-09-14,439400,9.050000190734863,9.329999923706056,9.029999732971191,9.300000190734863,9.300000190734863
2023-09-13,384300,9.239999771118164,9.279999732971191,9.0600004196167,9.079999923706056,9.079999923706056
2023-09-12,552000,9.329999923706056,9.475000381469728,9.175000190734863,9.199999809265137,9.199999809265137
2023-09-11,466900,9.609999656677246,9.630000114440918,9.420000076293944,9.420000076293944,9.420000076293944
2023-09-08,775500,9.359999656677246,9.789999961853027,9.350000381469728,9.649999618530272,9.649999618530272
2023-09-07,418400,9.489999771118164,9.489999771118164,9.201000213623049,9.40999984741211,9.40999984741211
2023-09-06,1485700,9.140000343322754,9.595000267028809,9.119999885559082,9.5600004196167,9.5600004196167
2023-09-05,693700,8.890000343322754,9.090999603271484,8.84000015258789,9.06999969482422,9.06999969482422
2023-09-01,569700,9.0,9.079999923706056,8.899999618530273,8.989999771118164,8.989999771118164
2023-08-31,608900,9.109999656677246,9.18000030517578,8.84000015258789,8.84000015258789,8.84000015258789
2023-08-30,569400,9.210000038146973,9.390000343322754,9.18000030517578,9.25,9.25
2023-08-29,1253900,8.850000381469727,9.289999961853027,8.625,9.210000038146973,9.210000038146973
2023-08-28,682500,9.0,9.279999732971191,8.9350004196167,9.270000457763672,9.270000457763672
2023-08-25,789200,9.15999984741211,9.170000076293944,8.989999771118164,9.06999969482422,9.06999969482422
2023-08-24,361800,9.1899995803833,9.274999618530272,9.079999923706056,9.229999542236328,9.229999542236328
2023-08-23,867500,9.130000114440918,9.425000190734863,9.09000015258789,9.350000381469728,9.350000381469728
2023-08-22,691200,8.949999809265137,9.164999961853027,8.880000114440918,9.15999984741211,9.15999984741211
2023-08-21,585200,9.119999885559082,9.119999885559082,8.890000343322754,8.899999618530273,8.899999618530273
